tribe,genus,species,name,opt2,opt4,taxa,sociality,CF,CM,CA,QL,CL,WS,QS,QW,PM,QF,OR,WM,SX,R,BC,NC,OG
Bombini,Bombus,pascuorum,B.pascuorum,A,C,bom,prm,1,180,60,1,0.42,9.1,,3,,9,1,0,0.61,0.75,2,1,1
Bombini,Bombus,hypnorum,B.hypnorum,A,C,bom,prm,1,150,50,1,0.22,5.51,1.44,3,15.4,2,1,0,0.34,0.69,5,1,1
Bombini,Bombus,ignitus,B.ignitus,A,C,bom,prm,1,240,107,1,0.35,11.64,1.21,3,4.1,5,1,0,0.1,0.75,5,1.5,1
Bombini,Bombus,fervidus,B.fervidus,A,C,bom,prm,1,300,250,1,,,1.173,3,,8,1,0,,,5,1.5,1
Bombini,Bombus,hypocrita,B.hypocrita,A,C,bom,prm,1,260,45,1,0.31,9.75,1.35,3,21,4,1,0,0.185,0.75,5,2,1
Bombini,Bombus,occidentalis,B.occidentalis,A,C,bom,prm,1,,85,1,,,1.38,3,,8,1,0,,,5,1,1
Bombini,Bombus,melanopygus,B.melanopygus,A,C,bom,prm,1,133,50,1,0.33,,1.36,3,19.1,,1,0,0.12,0.75,5,1,1
Euglossini,Euglossa,viridissima,E.viridissima,B,B,eug,prm,1,4,2,0.5,,2.05,1,0,30,1,1,100,0.6,0.52,3,0,1
Euglossini,Euglossa,townsendi,E.townsendi,B,B,eug,par,1,6,2,0.49,0.18,,1,0,0,1,1,100,0.6,,3,0,1
Euglossini,Eulaema,meriana,E.meriana,B,A,eug,com,1,2,2,0.33,0.05,2.23,1,0,100,1,1,100,,,1,0,0
Euglossini,Euglossa,cordata,E.cordata,B,B,eug,par,1,6,2,0.52,0.08,4.47,1.01,1,0,1,1,100,0.54,0.56,3,0,1
Euglossini,Eulaema,nigrita,E.nigrita,B,A,eug,com,1,6,4,0.21,0.11,4.53,1,0,100,1,1,100,,0.75,1,0,0
Euglossini,Euglossa,melanotricha,E.melanotricha,B,B,eug,prm,1,3,2,0.22,0.1,,1,1,30,1,1,100,0.64,0.66,3,0,1
Euglossini,Euglossa,atroveneta,E.atroveneta,B,B,eug,par,1,10,6,0.58,0.33,,1,0,,1,1,100,,0.62,,0,1
Euglossini,Euglossa,dodsoni,E.dodsoni,B,A,eug,sol,1,1,1,,0,,1,0,100,1,1,100,0.53,,1,,0
Euglossini,Euglossa,hyacinthina,E.hyacinthina,B,A,eug,com,1,5,4,0.46,,2.28,1,0,100,1,1,100,0.69,,1,1,1
Ceratinine,Ceratina,australensis,C.australensis,B,B,xyl,par,1,2,2,1,,4.8,1.02,2,0,1,1,100,0.59,0.79,1,0,1
Ceratinine,Ceratina,calcarata,C.calcarata,B,A,xyl,sub,1,1,1,1,0,9.23,1,1,100,1,1,100,0.44,0.48,1,0,1
Ceratinine,Ceratina,cyanea,C.cyanea,B,B,xyl,sol,1,1,1,1,0,,1,0,100,1,1,100,0.38,0.45,1,0,0
Allodapini,Exoneurella,tridentata,E.tridentata,B,C,xyl,hgh,1,37,10,4.5,15,4.98,1.18,4,,1,1,8,0.36,0.705,5,0,1
Allodapini,Exoneura,robusta,E.robusta,B,B,xyl,prm,1,6,2,1,0.5,,1,2,29,1,1,100,0.83,0.39,5,0,1
Allodapini,Exoneurella,lawsoni,E.lawsoni,B,A,xyl,sol,1,1,1,1,0,,1,0,100,1,1,100,0.58,,4,0,0.5
Allodapini,Braunsapis,vitrea,B.vitrea,B,B,xyl,par,1,3,2,,,5.52,1.02,2,0,1,1,0,0.7,,4,0,1
Xylocopini,Xylocopa,pubescens,X.pubescens,B,B,xyl,par,1,2,2,1,0.16,,1,2,0,1,1,100,0.5,0.48,1,0,1
Xylocopini,Xylocopa,violacea,X.violacea,B,A,xyl,sol,1,1,1,0.41,0,,1,0,100,1,1,100,0.59,,1,0,0
Xylocopini,Xylocopa,virginica,X.virginica,B,B,xyl,par,1,5,2,2,8,3.16,1.02,2,0,1,1,0,0.63,0.15,2,0,1
Augochlorini,Megalopta,genalis,M.genalis,B,B,hal,par,1,11,3,0.65,0.11,9.11,1.08,2,3,1,1,75,0.46,0.75,2,1,1
Halictini,Lasioglossum,baleicum,L.baleicum,B,B,hal,par,1,7,2,1,0.12,1,1.05,2,0,1,1,57,0.8,0.7,2,1,1
Halictini,Lasioglossum,marginatum,L.marginatum,B,C,hal,prm,1,486,280,6,6,,1,2,,,1,0,0.3,,2,2,1
Halictini,Halictus,ligatus,H.ligatus,B,B,hal,prm,1,20,4,1,0.2,6.1,1.14,2,50,1,1,51,0.65,0.42,2,1,1
Halictini,Lasioglossum,villosulum,L.villosulum,B,A,hal,sol,1,1,1,0.75,0,3.65,1.07,0,100,1,1,100,0.66,,1,0,0.5
Halictini,Lasioglossum,zephyrum,L.zephyrum,B,B,hal,prm,1,45,14,1,0.29,0.5,1.06,2,15,1,1,8,0.73,0.7,2,1,1
Anthophorini,Habropoda,laboriosa,H.laboriosa,B,A,meg,sol,1,1,1,0.08,0,2.46,1,0,100,1,1,100,,0.75,1,0,0
Rophitinae,Dufourea,novaeangliae,D.novaeangliae,B,A,hal,sol,1,1,1,0.08,0,,1,0,100,1,1,100,,,1,0,0
Megachile,Megachile,rotundata,M.rotundata,B,A,meg,sol,1,1,1,0.16,0,2.4,1,0,100,2,1,100,0.35,0.65,1,0,0
