"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"S.postica",5.07457338929679,-2.5914778198063,0.127206043995776,-3.19664409786401,-0.092427675407859,0.161870341525569,0.677945773666486,1.24792849065196,1.14665798002856,0.123763887356089,0.12033909001206,0.817737361334977,-0.635353279472799,0.00907649562313337,0.187602023964011,-0.0423899047361775,0.0720022567608207
"B.atratus",1.89374293219695,-2.44568857137583,-0.943181932383575,-1.0364024683066,-0.021639211332536,-1.90652859778382,0.661260523705341,0.576207150969108,0.136789747094651,1.35918884866664,0.368524768660433,0.0201390263232621,0.170758744786795,0.476379728904533,0.0131526423451512,0.0149529957276689,-0.0585867853925546
"B.fervidus",3.02572137867076,-0.398407335942589,-0.725232048270123,0.315176472061495,-0.7123538880529,-0.946586136701197,-1.12956936788091,0.93164430949507,0.242712595575929,1.2318129639337,0.193295967882406,-0.352149666681089,0.101529976119714,-0.127890049399799,-0.131999486872242,-0.323955085440919,0.141149834914252
"B.muscorum",2.65734697737846,-2.36602012623164,-2.42796557141588,1.21012218690734,0.494063076549453,-1.17769674470077,-0.412700394851955,-0.585348358330854,0.163721408032449,0.928674270120793,0.439069266261849,-0.332163470729646,0.125107162959855,-0.0254790438406932,-0.0788902333672827,-0.0980277260270661,-0.00360426795902868
"B.pascuorum",2.46874181097564,-0.70609564642825,-1.92733928446345,0.738594260500653,0.342335110415679,-0.786291720325199,0.279562608882711,-0.225937585695925,0.722412273703061,1.18730101726658,0.884633963641218,-0.622240588844024,0.0623768287260687,-0.087711817710636,-0.0386414891186913,-0.313837436119307,-0.0909935543988385
"B.morio",2.77101661064853,-1.42981459216754,-1.65478640407648,0.596810412859839,0.340437358326547,-1.17551317597903,-0.227313348648481,-0.242820302275004,0.835468830023052,1.15103072534369,0.25909095661408,-0.11024088101866,0.417265046651805,-0.289490201397188,-0.00571844209273883,-0.283305417633768,0.0540186199694424
"B.hortorum",2.53795005283608,-1.01744042780655,-1.41783874641425,0.36775429742678,0.57121270459853,-1.20969320905725,-0.333202271939896,-0.264962106501564,0.862826632017888,1.04181314149625,0.223961580388087,-0.190206411085898,-0.274036264799754,-0.0346400022662109,-0.141002137910432,-0.545606270276007,0.0463081988992159
"B.impatiens",3.64538586721481,-1.50642114833648,-1.4188656402773,1.29452052993822,-1.11206233698074,-0.791723464879752,-0.854159614539943,0.747935598298583,0.383569586078832,1.14518193724554,0.777068270301034,-0.589170387345988,0.482253758662494,-0.115934134896575,-0.192139984510433,-0.25781919107339,0.0911893367481158
"B.melanopygus",3.09596589124638,-1.72185932818516,-1.21688012355622,0.851077763673109,-0.660406513210054,-1.20960661860522,-1.61635117095453,0.495412851958306,-0.303026242093392,0.928838017374726,0.0470432500393242,-0.25398173027779,-0.113497111374326,0.195232352220612,-0.228474506364621,-0.249220983973404,-0.0751877299581219
"B.pratorum",2.89883877778536,-0.73981375641191,-1.1630434320989,0.433294720274782,-0.257130027140435,-0.773722654396664,-1.21625938451999,0.892835366988175,-0.300522807876156,1.1451895939564,0.268944052368475,-0.519405571701404,-0.00534957910311033,0.144916998238277,-0.24083660561462,-0.299043803119281,0.0906704597473687
"B.hypnorum",2.98866685522892,-0.990971627008179,-1.18459552067652,0.865464124639585,-0.932284673773956,-0.144741686438341,-0.700433115793863,0.769714410537079,-0.850274115896375,1.18891549717649,-0.0109405318800462,-0.389459352014223,0.285186815143665,-0.0536044098205054,0.0273574916932154,-0.00178658565950981,-0.0327634005177358
"B.terrestris",3.83536359023369,-2.90921721618883,-1.86223201275903,1.81912434775031,-1.38492694279854,-0.882349310376614,-0.881480956984109,0.567844780176492,0.0326472194757551,0.942502413463893,0.716031945007563,-0.589728823578726,0.110881001770808,-0.19803672802898,-0.243509255467598,-0.203315784407323,0.00698330698759921
"B.occidentalis",3.1730733560144,-1.26177536934617,-1.24362270794397,0.935707579148581,-0.907824714665612,-0.947899905993973,-1.17765085871763,0.608005678968554,-0.0634205180349551,1.05386934525525,0.408233818908655,-0.433673455632541,0.0758212884836352,0.0426355615814211,-0.172418218600833,-0.219975169036045,-0.0228486529366138
"B.lucorum",2.80273819947846,-0.366154502348078,-1.13285255754354,0.0863476297057084,-0.016997497102663,-0.901382878175376,-1.33829918842386,1.08600324343904,-0.188885482771012,1.28137232305007,0.200525346550888,-0.422874141167824,0.259180478807741,-0.131230911457172,-0.136275669621635,-0.107048367872,-0.0464719986828071
"B.hypocrita",3.02512403600573,-1.59738993058084,-1.42399117543684,0.766577110108702,-0.659990163368832,-1.29818363320936,-1.56118401635104,0.656696824071391,-0.207380024543848,1.04479373866781,0.136389001914974,-0.272153965287987,-0.0419240434738189,-0.297535216316156,-0.0738985360519,0.0694221775202268,-0.196842696911769
"B.ignitus",3.26978355426564,-1.37616323665101,-1.37588321933938,0.781306503383755,-0.277062289808973,-1.70419632239749,-2.24031001536768,0.411111351920312,0.299949457923821,0.895526585614891,0.229548684861613,-0.0625331286059412,0.0964743211510834,-0.10695710251974,-0.223043471617307,-0.0250894248087297,0.0138153412656981
