,tribe,genus,species,opt2,opt4,taxa,sociality,CF,CM,CA,QL,CL,WS,QS,QW,PM,QF,OR,WM,SX,R,BC,NC,OG
F.schrottkyi,Meliponini,Friesella,schrottkyi,A,D,mel,hgh,300,2500,1400,NA,NA,2.39,NA,4,0,53,NA,0,NA,NA,3,4.5,1
L.limao,Meliponini,Lestrimelitta,limao,A,D,mel,hgh,200,7000,4500,NA,10,1.44,1.38,4,NA,670,0.32,0,NA,0.65,3,5,1
F.varia,Meliponini,Frieseomelitta,varia,A,D,mel,hgh,NA,1600,1200,NA,NA,1.56,1.1,4,0,NA,0,0,NA,NA,3,2,1
T.angustula,Meliponini,Tetragonisca,angustula,A,D,mel,hgh,500,8000,5000,3.5,8.15,3.2,1.85,4,0,154,1,0,0.012,NA,3,5,1
S.quadripunctata,Meliponini,Schwarziana,quadripunctata,A,D,mel,hgh,500,2500,1500,NA,NA,NA,1.17,4,0,NA,0.62,0,0.032,0.79,3,5,1
N.testaceicornis,Meliponini,Nannotrigona,testaceicornis,A,D,mel,hgh,200,3000,2500,NA,10,1.6,1.11,4,NA,16,0.44,0,0.006,NA,3,4,1
C.capitata,Meliponini,Cephalotrigona,capitata,A,D,mel,hgh,NA,1000,700,NA,23,NA,1.3,4,NA,NA,NA,0,NA,NA,3,5,1
T.spinipes,Meliponini,Trigona,spinipes,A,D,mel,hgh,5000,53000,39000,NA,10,2.7,1.29,4,NA,NA,0.33,0,NA,0.75,3,5,1
T.fulviventris,Meliponini,Trigona,fulviventris,A,D,mel,hgh,2000,10000,5750,NA,23,NA,1.31,4,NA,NA,NA,0,NA,0.68,3,5,1
G.mombuca,Meliponini,Geotrigona,mombuca,A,D,mel,hgh,NA,3000,2500,NA,NA,1.42,NA,4,0,NA,NA,0,NA,NA,3,5,1
S.pectoralis,Meliponini,Scaptotrigona,pectoralis,A,D,mel,hgh,1400,5200,3600,NA,23,NA,1.14,4,NA,NA,NA,0,NA,0.71,3,4,1
S.postica,Meliponini,Scaptotrigona,postica,A,D,mel,hgh,2000,50000,15000,NA,NA,2.24,1.25,4,14.7,543,1,0,NA,0.7,3,5,1
B.atratus,Bombini,Bombus,atratus,A,C,bom,prm,50,1605,480,1,5,7.7,1.297,3,90,16,1,1,0.3,NA,2,1.5,1
B.fervidus,Bombini,Bombus,fervidus,A,C,bom,prm,1,300,250,1,NA,NA,1.173,3,NA,8,1,0,NA,NA,5,1.5,1
B.muscorum,Bombini,Bombus,muscorum,A,C,bom,prm,1,NA,50,1,NA,11.05,NA,3,NA,NA,1,0,NA,NA,2,1,1
B.pascuorum,Bombini,Bombus,pascuorum,A,C,bom,prm,1,180,60,1,0.42,9.1,NA,3,NA,9,1,0,0.61,0.75,2,1,1
B.morio,Bombini,Bombus,morio,A,C,bom,prm,1,525,300,1,0.38,9.73,1.3,3,NA,NA,1,0,0.34,0.75,2,1.5,1
B.hortorum,Bombini,Bombus,hortorum,A,C,bom,prm,1,128,100,1,0.17,9.1,1.174,3,NA,20,1,0,NA,0.75,2,1.5,1
B.impatiens,Bombini,Bombus,impatiens,A,C,bom,prm,1,756,450,1,0.19,9.96,1.5,3,0,10,1,0,0.38,0.67,5,1,1
B.melanopygus,Bombini,Bombus,melanopygus,A,C,bom,prm,1,133,50,1,0.33,NA,1.36,3,19.1,NA,1,0,0.12,0.75,5,1,1
B.pratorum,Bombini,Bombus,pratorum,A,C,bom,prm,1,130,100,1,0.21,7.2,1.221,3,NA,7,1,0,NA,0.75,5,1,1
B.hypnorum,Bombini,Bombus,hypnorum,A,C,bom,prm,1,150,50,1,0.22,5.51,1.44,3,15.4,2,1,0,0.34,0.69,5,1,1
B.terrestris,Bombini,Bombus,terrestris,A,C,bom,prm,1,400,200,1,0.33,11.3,1.76,3,3.4,17,1,0,0.23,0.75,5,1.5,1
B.occidentalis,Bombini,Bombus,occidentalis,A,C,bom,prm,1,NA,85,1,NA,NA,1.38,3,NA,8,1,0,NA,NA,5,1,1
B.lucorum,Bombini,Bombus,lucorum,A,C,bom,prm,1,400,130,1,0.25,7.05,1.11,3,NA,3,1,0,0.37,0.75,5,1.5,1
B.hypocrita,Bombini,Bombus,hypocrita,A,C,bom,prm,1,260,45,1,0.31,9.75,1.35,3,21,4,1,0,0.185,0.75,5,2,1
B.ignitus,Bombini,Bombus,ignitus,A,C,bom,prm,1,240,107,1,0.35,11.64,1.21,3,4.1,5,1,0,0.1,0.75,5,1.5,1
B.polaris,Bombini,Bombus,polaris,A,C,bom,prm,1,21,16,1,0.16,NA,1.24,3,0,15,1,0,0.35,NA,5,1,1
B.lapidarius,Bombini,Bombus,lapidarius,A,C,bom,prm,1,400,300,1,0.3,7.9,1.45,3,NA,NA,1,0,NA,0.75,5,2,1
C.calcarata,Ceratinine,Ceratina,calcarata,B,A,xyl,sub,1,1,1,1,0,9.23,1,1,100,1,1,100,0.44,0.48,1,0,1
C.cyanea,Ceratinine,Ceratina,cyanea,B,B,xyl,sol,1,1,1,1,0,NA,1,0,100,1,1,100,0.38,0.45,1,0,0
C.australensis,Ceratinine,Ceratina,australensis,B,B,xyl,par,1,2,2,1,NA,4.8,1.02,2,0,1,1,100,0.59,0.79,1,0,1
E.robusta,Allodapini,Exoneura,robusta,B,B,xyl,prm,1,6,2,1,0.5,NA,1,2,29,1,1,100,0.83,0.39,5,0,1
B.vitrea,Allodapini,Braunsapis,vitrea,B,B,xyl,par,1,3,2,NA,NA,5.52,1.02,2,0,1,1,0,0.7,NA,4,0,1
E.lawsoni,Allodapini,Exoneurella,lawsoni,B,A,xyl,sol,1,1,1,1,0,NA,1,0,100,1,1,100,0.58,NA,4,0,0.5
E.tridentata,Allodapini,Exoneurella,tridentata,B,C,xyl,hgh,1,37,10,4.5,15,4.98,1.18,4,NA,1,1,8,0.36,0.705,5,0,1
X.violacea,Xylocopini,Xylocopa,violacea,B,A,xyl,sol,1,1,1,0.41,0,NA,1,0,100,1,1,100,0.59,NA,1,0,0
X.virginica,Xylocopini,Xylocopa,virginica,B,B,xyl,par,1,5,2,2,8,3.16,1.02,2,0,1,1,0,0.63,0.15,2,0,1
X.pubescens,Xylocopini,Xylocopa,pubescens,B,B,xyl,par,1,2,2,1,0.16,NA,1,2,0,1,1,100,0.5,0.48,1,0,1
H.laboriosa,Anthophorini,Habropoda,laboriosa,B,A,meg,sol,1,1,1,0.08,0,2.46,1,0,100,1,1,100,NA,0.75,1,0,0
M.rotundata,Megachile,Megachile,rotundata,B,A,meg,sol,1,1,1,0.16,0,2.4,1,0,100,2,1,100,0.35,0.65,1,0,0
