"","PC1","PC2","PC3","PC4","species","group"
"1",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"H.ligatus","hal"
"2",-0.272549656263246,0.0915944692021739,-0.241031732367399,0.0956708798908799,"H.ligatus","hal"
"3",0.545064613389489,0.397992910758444,-0.850187395404199,0.186005340106408,"H.ligatus","hal"
"4",0.714013829331308,0.60743918344063,-0.845572807089357,0.0127350759411844,"H.ligatus","hal"
"5",0.803657323957227,1.07864485905473,-0.61351184276692,0.655095982179133,"H.ligatus","hal"
"6",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"L.baleicum","hal"
"7",-0.272549656263246,0.0915944692021739,-0.241031732367399,0.0956708798908799,"L.baleicum","hal"
"8",0.545064613389489,0.397992910758444,-0.850187395404199,0.186005340106408,"L.baleicum","hal"
"9",0.714013829331308,0.60743918344063,-0.845572807089357,0.0127350759411844,"L.baleicum","hal"
"10",0.798606653992253,0.583749328261488,-0.925242160452887,-0.336191649264373,"L.baleicum","hal"
"11",1.06870041279448,1.53081586472578,-1.36749411701288,0.416683119891362,"L.baleicum","hal"
"12",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"L.zephyrum","hal"
"13",-0.272549656263246,0.0915944692021739,-0.241031732367399,0.0956708798908799,"L.zephyrum","hal"
"14",0.545064613389489,0.397992910758444,-0.850187395404199,0.186005340106408,"L.zephyrum","hal"
"15",0.714013829331308,0.60743918344063,-0.845572807089357,0.0127350759411844,"L.zephyrum","hal"
"16",0.798606653992253,0.583749328261488,-0.925242160452887,-0.336191649264373,"L.zephyrum","hal"
"17",0.796164264384137,0.563221208936122,-0.919045109407488,-0.364840096281857,"L.zephyrum","hal"
"18",0.639673066870761,0.577566452427316,-0.89083284619906,-0.30685273992327,"L.zephyrum","hal"
"19",1.45104158461977,1.10229893019066,-1.11217871329961,-0.152961461630179,"L.zephyrum","hal"
"20",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"L.villosulum","hal"
"21",-0.272549656263246,0.0915944692021739,-0.241031732367399,0.0956708798908799,"L.villosulum","hal"
"22",0.545064613389489,0.397992910758444,-0.850187395404199,0.186005340106408,"L.villosulum","hal"
"23",0.714013829331308,0.60743918344063,-0.845572807089357,0.0127350759411844,"L.villosulum","hal"
"24",0.798606653992253,0.583749328261488,-0.925242160452887,-0.336191649264373,"L.villosulum","hal"
"25",0.796164264384137,0.563221208936122,-0.919045109407488,-0.364840096281857,"L.villosulum","hal"
"26",0.639673066870761,0.577566452427316,-0.89083284619906,-0.30685273992327,"L.villosulum","hal"
"27",-2.10366227381184,0.229933560176673,-0.321191621777113,0.255140607472971,"L.villosulum","hal"
"28",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"L.marginatum","hal"
"29",-0.272549656263246,0.0915944692021739,-0.241031732367399,0.0956708798908799,"L.marginatum","hal"
"30",0.545064613389489,0.397992910758444,-0.850187395404199,0.186005340106408,"L.marginatum","hal"
"31",0.714013829331308,0.60743918344063,-0.845572807089357,0.0127350759411844,"L.marginatum","hal"
"32",0.798606653992253,0.583749328261488,-0.925242160452887,-0.336191649264373,"L.marginatum","hal"
"33",0.796164264384137,0.563221208936122,-0.919045109407488,-0.364840096281857,"L.marginatum","hal"
"34",2.76930880335479,-0.597423621417673,-1.00296953571382,-2.49129935388452,"L.marginatum","hal"
"35",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"A.amphitrite","hal"
"36",-0.272549656263246,0.0915944692021739,-0.241031732367399,0.0956708798908799,"A.amphitrite","hal"
"37",0.545064613389489,0.397992910758444,-0.850187395404199,0.186005340106408,"A.amphitrite","hal"
"38",0.994994723975154,0.356699182943424,-1.37283561666095,0.511411443339768,"A.amphitrite","hal"
"39",1.05095398377043,0.386189300019856,-1.38895643217925,0.457831613795336,"A.amphitrite","hal"
"40",1.16339605993097,0.457270998884926,-1.45534959970668,0.475686416345467,"A.amphitrite","hal"
"41",0.948956344108106,0.391916020471054,-1.70311045911374,0.503477595690965,"A.amphitrite","hal"
"42",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"A.phoemonoe","hal"
"43",-0.272549656263246,0.0915944692021739,-0.241031732367399,0.0956708798908799,"A.phoemonoe","hal"
"44",0.545064613389489,0.397992910758444,-0.850187395404199,0.186005340106408,"A.phoemonoe","hal"
"45",0.994994723975154,0.356699182943424,-1.37283561666095,0.511411443339768,"A.phoemonoe","hal"
"46",1.05095398377043,0.386189300019856,-1.38895643217925,0.457831613795336,"A.phoemonoe","hal"
"47",1.16339605993097,0.457270998884926,-1.45534959970668,0.475686416345467,"A.phoemonoe","hal"
"48",1.47190192663794,0.582091093349963,-1.26313152446697,0.462832100397714,"A.phoemonoe","hal"
"49",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"A.striata","hal"
"50",-0.272549656263246,0.0915944692021739,-0.241031732367399,0.0956708798908799,"A.striata","hal"
"51",0.545064613389489,0.397992910758444,-0.850187395404199,0.186005340106408,"A.striata","hal"
"52",0.994994723975154,0.356699182943424,-1.37283561666095,0.511411443339768,"A.striata","hal"
"53",1.05095398377043,0.386189300019856,-1.38895643217925,0.457831613795336,"A.striata","hal"
"54",1.09756604531174,0.389035007330155,-1.33993967621353,0.18268256077542,"A.striata","hal"
"55",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"M.genalis","hal"
